ticker,marketcap,token_address,graduated_time
<nil>,1276687191.0072477,FFQsXdkm91RD714L7YKzMfEQ5RKsuhwnXWMnrVt2pump,2024-12-27 22:15:29.000 UTC
<nil>,568852744.1928598,6ZkruSRNw3JDM6FNEJf7dfkZZSq9tG5L5TZm53BCpump,2024-12-27 22:05:16.000 UTC
CALVIN,387485562.8184545,229vWzBTiUNdraYpVtSH9usTwwVxcyPDbBWf1zEPpump,2024-12-26 18:20:30.000 UTC
<nil>,306939554.99266523,HZoW31uuBP5WcxHLjEZudE11AZuPuGQS9DKp1okbpump,2024-12-27 22:17:26.000 UTC
<nil>,206744180.79751933,8mxMSJA8rQzQNLV5sLtA12cyxLX3Cpw5VoZ7f9Mupump,2024-12-27 22:10:27.000 UTC
<nil>,185360362.5982045,H5Y8RAMqPqmNTBEdt2oER43GAYjKFwNJ7Gn6gNTLpump,2024-12-27 22:16:25.000 UTC
PIMP,161623023.33189273,3Cbxn7EE79VxMe9pFLyLUVKDKaq7DdwsoV5z4RBqpump,2024-12-26 17:15:10.000 UTC
QNTYX,115762134.29318504,9hncsuv81dQimq8rpZpTa7xtHHEFapibZjpBJ6MMWnv6,2024-12-26 15:24:16.000 UTC
KIKI,104209812.27957404,HhCLbkW6FwhriTkk81W8tYstsRCLUu6Y7Je1SQjVpump,2024-12-21 15:40:01.000 UTC
ghost,94631470.79534224,5kWPvDUqX1JFyiwidFrzwv6uE7rfizo6LMEnWeRJpump,2024-12-27 01:02:09.000 UTC
MIRA,83248500.58795649,RufNMBEbKJr6CM1t3nwakZ3BaE9csF2AR15s32VWcRE,2024-12-26 02:36:13.000 UTC
SPORE,79968508.63107055,8bdhP1UQMevciC9oJ7NrvgDfoW8XPXPfbkkm6vKtMS7N,2024-12-23 04:12:53.000 UTC
swarms,71694584.6518732,74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump,2024-12-20 04:46:46.000 UTC
MingLingAI,70312387.8412818,UMrmpYkxgfjrEQAeFn9TP5RaMPT5j2MU3qSpbfZpump,2024-12-27 01:33:10.000 UTC
Cole,62212320.00441392,83LTuc9TaTaM3qjpT7eavD1aXM5LD8Bg4YA4chBQpump,2024-12-26 23:23:54.000 UTC
<nil>,60581497.98270795,2JS1hzSzBMmVdN4GatvZJPcWUsTrmu45WBjYVq5wpump,2024-12-27 22:09:34.000 UTC
YNE,57866668.7277463,7D1iYWfhw2cr9yBZBFE6nZaaSUvXHqG5FizFFEZwpump,2024-12-19 22:03:11.000 UTC
Slut24,51715602.12419059,7Qx6H27iuCqkgpJHo4z11DhRBxApxQxsmKSj9UeLpump,2024-12-26 20:06:33.000 UTC
Quantelope,46520044.97758919,CgNRsC4WMj8K7kLHUHrK6D9Qe3LiaVw9GHNnSavepump,2024-12-26 20:50:09.000 UTC
SNAI,46301931.10823583,Hjw6bEcHtbHGpQr8onG3izfJY5DJiWdt7uk2BfdSpump,2024-12-20 19:09:27.000 UTC
UFA,43137001.73597746,2M4EBJRVkg9tZg5fKgUAmo3PTUZS4ncwSfhQTsyZpump,2024-12-26 23:52:58.000 UTC
Choco,33590996.02295952,Hg91n2CCkr1eyjVdBrv1CUKDASgKPBLMz1t2gkeSpump,2024-12-26 22:58:04.000 UTC
LI,31791814.863314357,HhUVkZ1qz8vfMqZDemLyxBFxrHFKVSYAk7a6227Lpump,2024-12-18 15:57:24.000 UTC
UAI,30694632.090551943,haahyN2RTafHNNySeXKoowgGF7DdX5b5nGNGmghpump,2024-12-19 15:51:18.000 UTC
UAI,30694632.090551943,haahyN2RTafHNNySeXKoowgGF7DdX5b5nGNGmghpump,2024-12-19 16:20:23.000 UTC
ELON,29932335.30925241,2dvMcRyRsKhkAMS4rHmXV6m2ZV1UfH3iogzoRTpXpump,2024-12-27 21:52:09.000 UTC
